clip_id,class_id,signer_id,view,repetition,path,split,fps,n_frames,duration,width,height,file_size,brightness_mean,brightness_std,blur_mean
S1-J-frontal-1,J,S1,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S1-J-frontal-1.mp4,train,30.0,62,2.066666666666667,900,900,6278921,152.3832201058201,0.3825327026805424,3.6580026326616157
S1-J-frontal-2,J,S1,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S1-J-frontal-2.mp4,train,30.0,48,1.6,900,900,4861277,152.43134814814815,0.19687553200426802,3.6463698537521716
S1-J-frontal-3,J,S1,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S1-J-frontal-3.mp4,train,30.0,62,2.066666666666667,900,900,6278921,151.83548271604937,0.39546774632573894,3.6496796778700977
S1-J-frontal-4,J,S1,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S1-J-frontal-4.mp4,train,30.0,63,2.1,900,900,6380181,152.45228959435627,0.6963810464864518,3.552903680529101
S1-J-frontal-5,J,S1,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S1-J-frontal-5.mp4,train,30.0,76,2.533333333333333,900,900,7696561,152.68940540123458,0.16841495226643222,3.5983910104652486
S1-K-frontal-1,K,S1,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S1-K-frontal-1.mp4,train,30.0,63,2.1,900,900,6380181,142.06278342151674,0.10212341190495544,3.479288709196986
S1-K-frontal-2,K,S1,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S1-K-frontal-2.mp4,train,30.0,57,1.9,900,900,5772617,142.0506841563786,0.2782689550991142,3.6731917588243657
S1-K-frontal-3,K,S1,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S1-K-frontal-3.mp4,train,30.0,68,2.2666666666666666,900,900,6886481,142.17450987654323,0.14218747180419092,3.6975275037818705
S1-K-frontal-4,K,S1,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S1-K-frontal-4.mp4,train,30.0,56,1.8666666666666667,900,900,5671357,142.3622170781893,0.19847796845751722,3.653740531937459
S1-K-frontal-5,K,S1,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S1-K-frontal-5.mp4,train,30.0,54,1.8,900,900,5468837,142.6699364197531,0.417150981450209,3.637168103917847
S1-Q-frontal-1,Q,S1,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S1-Q-frontal-1.mp4,train,30.0,75,2.5,900,900,7595301,144.59246049382716,0.8915292914029808,3.4863481420713303
S1-Q-frontal-2,Q,S1,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S1-Q-frontal-2.mp4,train,30.0,64,2.1333333333333333,900,900,6481441,147.1067167548501,1.3873655014900066,3.752125396360094
S1-Q-frontal-3,Q,S1,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S1-Q-frontal-3.mp4,train,30.0,60,2.0,900,900,6076397,146.2682160493827,0.5332688135251662,3.5363868256876496
S1-Q-frontal-4,Q,S1,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S1-Q-frontal-4.mp4,train,30.0,56,1.8666666666666667,900,900,5671357,148.3118514403292,1.866483281670047,3.6272195429784593
S1-Q-frontal-5,Q,S1,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S1-Q-frontal-5.mp4,train,30.0,57,1.9,900,900,5772617,148.20815905349795,0.5997075810963854,3.6324637710059444
S1-X-frontal-1,X,S1,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S1-X-frontal-1.mp4,train,30.0,73,2.433333333333333,900,900,7392781,144.47703395061728,2.5741972576070173,3.2610848640371133
S1-X-frontal-2,X,S1,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S1-X-frontal-2.mp4,train,30.0,66,2.2,900,900,6683961,141.5098716049383,3.8557000082301727,3.2002781240309623
S1-X-frontal-3,X,S1,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S1-X-frontal-3.mp4,train,30.0,63,2.1,900,900,6380181,143.05370934744266,4.079236524357382,3.4455890589596527
